Date,ISBN,Amount
2013-01-01,670-4254111-7-8,79.27
2013-01-01,213-7770839-7-5,226.51
2013-01-02,213-7770839-7-5,16.13
2013-01-04,490-8690075-2-3,52.2
2013-01-07,590-3254918-4-5,498.11
2013-01-11,989-0380666-3-2,240.79
2013-01-16,989-0380666-3-2,173.30
2013-01-22,063-5533026-6-8,19.81
2013-01-29,063-5533026-6-8,80.82
2013-02-06,063-5533026-6-8,456.96
2013-02-15,063-5533026-6-8,334.58
2013-02-25,892-0185220-7-6,226.23
2013-03-08,615-5268079-3-3,498.26
2013-03-20,175-3005420-5-5,312.71
2013-04-02,210-2073546-5-3,49.21
2013-04-16,426-0575866-1-4,449.50
2013-05-01,063-5533026-6-8,17.34
2013-05-17,405-5334917-5-2,213.47
2013-06-03,490-8690075-2-3,166.0
2013-06-21,615-5268079-3-3,438.7
2013-07-10,340-9004193-2-4,159.69
2013-07-30,670-4254111-7-8,485.26
2013-08-20,590-3254918-4-5,321.8
2013-09-11,210-2073546-5-3,229.80
2013-10-04,717-4758682-2-1,5.7
2013-10-28,236-6445496-6-2,268.83
2013-11-22,405-5334917-5-2,442.41
2013-12-18,236-6445496-6-2,439.18
2014-01-14,892-0185220-7-6,279.95
2014-02-11,989-0380666-3-2,302.3
2014-03-12,408-9079121-4-5,288.36
2014-04-11,063-5533026-6-8,241.53
2014-05-12,340-9004193-2-4,293.95
2014-06-13,670-4254111-7-8,116.98
2014-07-16,063-5533026-6-8,114.95
2014-08-19,405-5334917-5-2,429.95
2014-09-23,426-0575866-1-4,140.28
2014-10-29,405-5334917-5-2,247.55
2014-12-05,236-6445496-6-2,392.33
2015-01-12,408-9079121-4-5,245.12
2015-02-20,670-4254111-7-8,137.72
2015-04-01,063-5533026-6-8,418.64
2015-05-12,892-0185220-7-6,471.46
2015-06-23,405-5334917-5-2,246.59
2015-08-05,405-5334917-5-2,459.4
2015-09-18,892-0185220-7-6,218.60
2015-11-02,717-4758682-2-1,12.64
2015-12-18,154-4750700-3-5,141.15
2016-02-03,590-3254918-4-5,129.24
2016-03-22,340-9004193-2-4,133.12
2016-05-10,175-3005420-5-5,480.29
2016-06-29,220-2916711-1-1,86.61
